157.245.62.201 - - [10/Apr/2023:21:30:30 +0700] "POST /wp-cron.php?doing_wp_cron=1681137030.7903430461883544921875 HTTP/2.0" 200 20 "-" "WordPress/6.2; https://tokoyafi.my.id"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:30:31 +0700] "GET / HTTP/2.0" 200 13615 "https://tokoyafi.my.id/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:30:50 +0700] "GET / HTTP/2.0" 200 13622 "https://tokoyafi.my.id/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
157.245.62.201 - - [10/Apr/2023:21:39:31 +0700] "POST / HTTP/2.0" 200 22 "-" "Cleantalk-Helper/1.0.0"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:39:31 +0700] "GET / HTTP/2.0" 500 2726 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
157.245.62.201 - - [10/Apr/2023:21:39:32 +0700] "POST /wp-cron.php?doing_wp_cron=1681137572.2491879463195800781250 HTTP/2.0" 200 20 "-" "WordPress/6.2; https://tokoyafi.my.id"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:39:32 +0700] "GET / HTTP/2.0" 200 13633 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:39:34 +0700] "POST /?wc-ajax=get_refreshed_fragments HTTP/2.0" 200 3188 "https://tokoyafi.my.id/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
164.90.204.15 - - [10/Apr/2023:21:40:45 +0700] "CONNECT www.yahoo.com:443 HTTP/1.1" 400 166 "-" "-"
157.245.62.201 - - [10/Apr/2023:21:42:34 +0700] "POST / HTTP/2.0" 200 22 "-" "Cleantalk-Helper/1.0.0"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:42:34 +0700] "GET / HTTP/2.0" 500 2726 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
